variant,method,feature,asset,observations,non_null,coverage,first_valid,last_valid
STL_p42_tw126_s126,STL,trend,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
STL_p42_tw126_s126,STL,cycle,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
STL_p42_tw126_s126,STL,residual,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
STL_p42_tw126_s126,STL,trend_slope,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
STL_p42_tw126_s126,STL,trend_acceleration,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
STL_p42_tw126_s126,STL,trend_strength,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
STL_p42_tw126_s126,STL,trend_gap,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
STL_p42_tw126_s126,STL,cycle_z,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
STL_p42_tw126_s126,STL,cycle_slope,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
STL_p42_tw126_s126,STL,cycle_amplitude,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
STL_p42_tw126_s126,STL,cycle_position,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
STL_p42_tw126_s126,STL,cycle_turn_up,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
STL_p42_tw126_s126,STL,residual_z,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
STL_p42_tw126_s126,STL,residual_abs_z,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
STL_p42_tw126_s126,STL,residual_vol,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
STL_p42_tw126_s126,STL,reconstruction_error,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
STL_p42_tw126_s126,STL,component_stability,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
STL_p42_tw126_s126,STL,selected_period,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
STL_p42_tw126_s126,STL,volume_trend,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
STL_p42_tw126_s126,STL,volume_cycle,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
STL_p42_tw126_s126,STL,volume_residual,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
STL_p42_tw126_s126,STL,volume_trend_slope,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
STL_p42_tw126_s126,STL,volume_trend_acceleration,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
STL_p42_tw126_s126,STL,volume_trend_strength,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
STL_p42_tw126_s126,STL,volume_trend_gap,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
STL_p42_tw126_s126,STL,volume_cycle_z,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
STL_p42_tw126_s126,STL,volume_cycle_slope,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
STL_p42_tw126_s126,STL,volume_cycle_amplitude,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
STL_p42_tw126_s126,STL,volume_cycle_position,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
STL_p42_tw126_s126,STL,volume_cycle_turn_up,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
STL_p42_tw126_s126,STL,volume_residual_z,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
STL_p42_tw126_s126,STL,volume_residual_abs_z,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
STL_p42_tw126_s126,STL,volume_residual_vol,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
STL_p42_tw126_s126,STL,volume_reconstruction_error,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
STL_p42_tw126_s126,STL,volume_component_stability,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
STL_p42_tw126_s126,STL,volume_selected_period,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
STL_p42_tw126_s126,STL,volume_participation,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
STL_p42_tw126_s126,STL,volume_shock,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
SSA_p42_tw126_s126,SSA,trend,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
SSA_p42_tw126_s126,SSA,cycle,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
SSA_p42_tw126_s126,SSA,residual,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
SSA_p42_tw126_s126,SSA,trend_slope,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
SSA_p42_tw126_s126,SSA,trend_acceleration,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
SSA_p42_tw126_s126,SSA,trend_strength,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
SSA_p42_tw126_s126,SSA,trend_gap,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
SSA_p42_tw126_s126,SSA,cycle_z,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
SSA_p42_tw126_s126,SSA,cycle_slope,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
SSA_p42_tw126_s126,SSA,cycle_amplitude,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
SSA_p42_tw126_s126,SSA,cycle_position,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
SSA_p42_tw126_s126,SSA,cycle_turn_up,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
SSA_p42_tw126_s126,SSA,residual_z,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
SSA_p42_tw126_s126,SSA,residual_abs_z,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
SSA_p42_tw126_s126,SSA,residual_vol,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
SSA_p42_tw126_s126,SSA,reconstruction_error,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
SSA_p42_tw126_s126,SSA,component_stability,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
SSA_p42_tw126_s126,SSA,selected_period,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
SSA_p42_tw126_s126,SSA,volume_trend,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
SSA_p42_tw126_s126,SSA,volume_cycle,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
SSA_p42_tw126_s126,SSA,volume_residual,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
SSA_p42_tw126_s126,SSA,volume_trend_slope,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
SSA_p42_tw126_s126,SSA,volume_trend_acceleration,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
SSA_p42_tw126_s126,SSA,volume_trend_strength,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
SSA_p42_tw126_s126,SSA,volume_trend_gap,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
SSA_p42_tw126_s126,SSA,volume_cycle_z,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
SSA_p42_tw126_s126,SSA,volume_cycle_slope,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
SSA_p42_tw126_s126,SSA,volume_cycle_amplitude,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
SSA_p42_tw126_s126,SSA,volume_cycle_position,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
SSA_p42_tw126_s126,SSA,volume_cycle_turn_up,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
SSA_p42_tw126_s126,SSA,volume_residual_z,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
SSA_p42_tw126_s126,SSA,volume_residual_abs_z,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
SSA_p42_tw126_s126,SSA,volume_residual_vol,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
SSA_p42_tw126_s126,SSA,volume_reconstruction_error,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
SSA_p42_tw126_s126,SSA,volume_component_stability,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
SSA_p42_tw126_s126,SSA,volume_selected_period,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
SSA_p42_tw126_s126,SSA,volume_participation,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
SSA_p42_tw126_s126,SSA,volume_shock,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
STD_p42_tw126_s126,STD,trend,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
STD_p42_tw126_s126,STD,cycle,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
STD_p42_tw126_s126,STD,residual,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
STD_p42_tw126_s126,STD,trend_slope,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
STD_p42_tw126_s126,STD,trend_acceleration,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
STD_p42_tw126_s126,STD,trend_strength,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
STD_p42_tw126_s126,STD,trend_gap,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
STD_p42_tw126_s126,STD,cycle_z,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
STD_p42_tw126_s126,STD,cycle_slope,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
STD_p42_tw126_s126,STD,cycle_amplitude,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
STD_p42_tw126_s126,STD,cycle_position,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
STD_p42_tw126_s126,STD,cycle_turn_up,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
STD_p42_tw126_s126,STD,residual_z,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
STD_p42_tw126_s126,STD,residual_abs_z,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
STD_p42_tw126_s126,STD,residual_vol,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
STD_p42_tw126_s126,STD,reconstruction_error,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
STD_p42_tw126_s126,STD,component_stability,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
STD_p42_tw126_s126,STD,selected_period,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
STD_p42_tw126_s126,STD,volume_trend,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
STD_p42_tw126_s126,STD,volume_cycle,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
STD_p42_tw126_s126,STD,volume_residual,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
STD_p42_tw126_s126,STD,volume_trend_slope,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
STD_p42_tw126_s126,STD,volume_trend_acceleration,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
STD_p42_tw126_s126,STD,volume_trend_strength,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
STD_p42_tw126_s126,STD,volume_trend_gap,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
STD_p42_tw126_s126,STD,volume_cycle_z,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
STD_p42_tw126_s126,STD,volume_cycle_slope,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
STD_p42_tw126_s126,STD,volume_cycle_amplitude,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
STD_p42_tw126_s126,STD,volume_cycle_position,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
STD_p42_tw126_s126,STD,volume_cycle_turn_up,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
STD_p42_tw126_s126,STD,volume_residual_z,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
STD_p42_tw126_s126,STD,volume_residual_abs_z,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
STD_p42_tw126_s126,STD,volume_residual_vol,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
STD_p42_tw126_s126,STD,volume_reconstruction_error,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
STD_p42_tw126_s126,STD,volume_component_stability,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
STD_p42_tw126_s126,STD,volume_selected_period,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
STD_p42_tw126_s126,STD,volume_participation,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
STD_p42_tw126_s126,STD,volume_shock,GOOG,1008,883,0.8759920634920635,2014-07-02,2018-01-02
