strategy,strategy_family,decomposition_variant,total_return,cagr,sharpe,max_drawdown,calmar,volatility,hit_rate,trade_win_rate,average_trade_directional_return,orders,round_trips,median_bars_held,average_turnover,average_gross_exposure,fee_bps,slippage_bps,periods_per_year,execution_model,spec_method,spec_period,spec_train_window,spec_step,spec_z_window,spec_label,spec_role,spec_name
detime_STL_p42_tw126_s126_trend_crossover,trend_crossover,STL_p42_tw126_s126,1.5407435475706368,0.11762555235014083,0.7755511987112178,-0.3204895550060127,0.36701836460141124,0.1600202735602474,0.3951727401798391,1.0,0.23729235751430133,3.0,1.0,630.0,0.001419782300047326,0.702318977756744,5.0,2.0,252.0,signal_on_bar_t_fill_next_bar_open_or_proxy,STL,42,126,126,63,,custom_grid,STL_p42_tw126_s126
detime_STL_p42_tw126_s126_trend_following,trend_following,STL_p42_tw126_s126,0.378970041053341,0.039066990568920934,0.6874860559897616,-0.1448761273907584,0.2696578882423455,0.058220320580553354,0.3648840511121628,1.0,0.23729235751430133,12.0,1.0,630.0,0.0008073037130830212,0.23514813354684572,5.0,2.0,252.0,signal_on_bar_t_fill_next_bar_open_or_proxy,STL,42,126,126,63,,custom_grid,STL_p42_tw126_s126
detime_SSA_p42_tw126_s126_trend_following,trend_following,SSA_p42_tw126_s126,0.3474754344195641,0.03620785281543659,0.6591525111656916,-0.14702607172529003,0.24626824610460202,0.0563822537462884,0.36535731187884524,1.0,0.23729235751430133,12.0,1.0,630.0,0.0007152365895318645,0.2232511964554516,5.0,2.0,252.0,signal_on_bar_t_fill_next_bar_open_or_proxy,SSA,42,126,126,63,,custom_grid,SSA_p42_tw126_s126
detime_SSA_p42_tw126_s126_trend_macd,trend_macd,SSA_p42_tw126_s126,0.3144821513093794,0.033148829945530256,0.6553288790534381,-0.09375369184658566,0.35357359579795017,0.05181771865505029,0.06436346426881212,0.875,0.03815765797231796,16.0,8.0,14.0,0.007572172266919072,0.10601041173686701,5.0,2.0,252.0,signal_on_bar_t_fill_next_bar_open_or_proxy,SSA,42,126,126,63,,custom_grid,SSA_p42_tw126_s126
detime_SSA_p42_tw126_s126_trend_crossover,trend_crossover,SSA_p42_tw126_s126,0.7948699142167306,0.07225087215068005,0.5439512354082321,-0.32048955500601295,0.22543908536839677,0.14871984439596564,0.3289162328442972,1.0,0.1939229307740291,7.0,3.0,378.0,0.003312825366777094,0.5830572645527686,5.0,2.0,252.0,signal_on_bar_t_fill_next_bar_open_or_proxy,SSA,42,126,126,63,,custom_grid,SSA_p42_tw126_s126
detime_STL_p42_tw126_s126_trend_macd,trend_macd,STL_p42_tw126_s126,0.10303366822217841,0.01176396969165161,0.32197608991054355,-0.10316707037408523,0.11402833916864454,0.038649686522204255,0.03928064363464269,0.8,0.012072229096481923,20.0,10.0,14.0,0.00946521533364884,0.06625650733554188,5.0,2.0,252.0,signal_on_bar_t_fill_next_bar_open_or_proxy,STL,42,126,126,63,,custom_grid,STL_p42_tw126_s126
detime_STD_p42_tw126_s126_trend_macd,trend_macd,STD_p42_tw126_s126,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,5.0,2.0,252.0,signal_on_bar_t_fill_next_bar_open_or_proxy,STD,42,126,126,63,,custom_grid,STD_p42_tw126_s126
detime_STD_p42_tw126_s126_residual_bollinger,residual_bollinger,STD_p42_tw126_s126,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,5.0,2.0,252.0,signal_on_bar_t_fill_next_bar_open_or_proxy,STD,42,126,126,63,,custom_grid,STD_p42_tw126_s126
detime_STD_p42_tw126_s126_hybrid_regime,hybrid_regime,STD_p42_tw126_s126,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,5.0,2.0,252.0,signal_on_bar_t_fill_next_bar_open_or_proxy,STD,42,126,126,63,,custom_grid,STD_p42_tw126_s126
detime_STD_p42_tw126_s126_oscillation_reversion,oscillation_reversion,STD_p42_tw126_s126,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,5.0,2.0,252.0,signal_on_bar_t_fill_next_bar_open_or_proxy,STD,42,126,126,63,,custom_grid,STD_p42_tw126_s126
detime_STD_p42_tw126_s126_trend_following,trend_following,STD_p42_tw126_s126,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,5.0,2.0,252.0,signal_on_bar_t_fill_next_bar_open_or_proxy,STD,42,126,126,63,,custom_grid,STD_p42_tw126_s126
detime_SSA_p42_tw126_s126_residual_bollinger,residual_bollinger,SSA_p42_tw126_s126,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,5.0,2.0,252.0,signal_on_bar_t_fill_next_bar_open_or_proxy,SSA,42,126,126,63,,custom_grid,SSA_p42_tw126_s126
detime_STL_p42_tw126_s126_residual_bollinger,residual_bollinger,STL_p42_tw126_s126,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,5.0,2.0,252.0,signal_on_bar_t_fill_next_bar_open_or_proxy,STL,42,126,126,63,,custom_grid,STL_p42_tw126_s126
detime_STD_p42_tw126_s126_trend_crossover,trend_crossover,STD_p42_tw126_s126,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,5.0,2.0,252.0,signal_on_bar_t_fill_next_bar_open_or_proxy,STD,42,126,126,63,,custom_grid,STD_p42_tw126_s126
detime_SSA_p42_tw126_s126_hybrid_regime,hybrid_regime,SSA_p42_tw126_s126,-0.21129384083647784,-0.0279112120811017,-0.39654749465755434,-0.3517960445979855,-0.07933918675236158,0.06593553600205672,0.09512541410317085,0.0,-0.5308950169537199,5.0,1.0,504.0,0.0006303378892423267,0.1144928220357118,5.0,2.0,252.0,signal_on_bar_t_fill_next_bar_open_or_proxy,SSA,42,126,126,63,,custom_grid,SSA_p42_tw126_s126
detime_SSA_p42_tw126_s126_oscillation_reversion,oscillation_reversion,SSA_p42_tw126_s126,-0.21129384083647784,-0.0279112120811017,-0.39654749465755434,-0.3517960445979855,-0.07933918675236158,0.06593553600205672,0.09512541410317085,0.0,-0.5308950169537199,5.0,1.0,504.0,0.0006303378892423267,0.1144928220357118,5.0,2.0,252.0,signal_on_bar_t_fill_next_bar_open_or_proxy,SSA,42,126,126,63,,custom_grid,SSA_p42_tw126_s126
detime_STL_p42_tw126_s126_oscillation_reversion,oscillation_reversion,STL_p42_tw126_s126,-0.0950100151449843,-0.01183546728449103,-0.6249125733844864,-0.1054178785964589,-0.11227191670017724,0.018770115794615943,0.021769995267392334,0.0,-0.16337046839368896,2.0,1.0,126.0,0.0005949115189804804,0.03747942569577026,5.0,2.0,252.0,signal_on_bar_t_fill_next_bar_open_or_proxy,STL,42,126,126,63,,custom_grid,STL_p42_tw126_s126
detime_STL_p42_tw126_s126_hybrid_regime,hybrid_regime,STL_p42_tw126_s126,-0.0950100151449843,-0.01183546728449103,-0.6249125733844864,-0.1054178785964589,-0.11227191670017724,0.018770115794615943,0.021769995267392334,0.0,-0.16337046839368896,2.0,1.0,126.0,0.0005949115189804804,0.03747942569577026,5.0,2.0,252.0,signal_on_bar_t_fill_next_bar_open_or_proxy,STL,42,126,126,63,,custom_grid,STL_p42_tw126_s126
