strategy_family,classical_signal,detime_component,signal_rule,best_tutorial,main_risk
Feature factory,,"price trend, price cycle, price residual, volume trend, volume residual",Walk-forward components from price and volume; record selected period and coverage,01_market_data_and_decomposition_feature_factory.ipynb,Full-sample decomposition leakage
Trend following,SMA / EMA / dual moving average,trend,Use trend slope/strength and decomposed-trend moving averages instead of raw-price-only averages,02_decomposition_aware_moving_average_macd.ipynb,Whipsaw in sideways regimes
MACD,Fast EMA minus slow EMA,trend + residual + cycle,Compute MACD on extracted trend and gate with residual/cycle/volume context,02_decomposition_aware_moving_average_macd.ipynb,MACD lag and parameter sensitivity
Multi-MA alignment,Multiple raw moving averages,multi-horizon trend context,Replace raw MA stack with trend state plus risk and volume masks,02_decomposition_aware_moving_average_macd.ipynb,Over-filtering can reduce participation
Trend pullback,Buy dip in uptrend,trend + residual + volume,Long when trend is intact and residual is temporarily cheap,02_decomposition_aware_moving_average_macd.ipynb,A downtrend can make residual dips persist
Residual mean reversion,RSI / Bollinger / price z-score,residual + cycle,Trade residual_z/residual RSI/residual bands rather than raw price z-score; trend and cycle decide whether a dip is tradable,03_residual_mean_reversion_rsi_bollinger.ipynb,Residual distribution drift
Breakout,Turtle / Donchian,trend + cycle + volume,"Require prior-channel breakout plus trend, cycle, residual-overextension and volume confirmation",04_turtle_donchian_breakout_volume_confirmation.ipynb,False breakouts and crowded momentum
Pairs trading,Spread z-score,spread trend + spread residual,Trade spread residual only when spread trend is stable,05_pairs_spread_decomposition_stat_arb.ipynb,Cointegration or borrow regime breaks
Cross-sectional rotation,Momentum rank,trend + cycle + residual + volume,Rank assets by decomposition score with volatility and residual-stress caps,06_cross_sectional_rotation_portfolio.ipynb,Data mining and sector concentration
